party,state,name,letra,type,fem,n,year
PRD,Baja California Sur,Juan Adolfo Orci Martínez (aún no redactado),n,smd,,54,2006
PRD,Veracruz,Juan Darío Lemarroy Martínez (aún no redactado),n,smd,,55,2006
PRD,México,Juan Hugo de la Rosa García,n,smd,,56,2006
PRD,México,Juan Manuel San Martín Hernández (aún no redactado),n,smd,,57,2006
PRD,Chiapas,Martín Ramos Castellanos (aún no redactado),n,smd,,58,2006
PRD,México,Martín Zepeda Hernández (aún no redactado),n,smd,,59,2006
PRD,Guerrero,Odilón Romero Gutiérrez (aún no redactado),n,smd,,60,2006
PRD,Oaxaca,Othón Cuevas Córdova,n,smd,,61,2006
PRD,Guerrero,Ramón Almonte Borja (aún no redactado),n,smd,,62,2006
PRD,Distrito Federal,Ramón Pacheco Llanes (aún no redactado),n,smd,,63,2006
PRD,Tlaxcala,Alberto Amaro Corona (aún no redactado),o,smd,,64,2006
PRD,México,Alberto López Rojas (aún no redactado),o,smd,,65,2006
PRD,Cuarta,Alejandro Martínez Hernández (aún no redactado),o,pr,,66,2006
PRD,Distrito Federal,Alejandro Sánchez Camacho,o,smd,,67,2006
PRD,México,Antonio Flores Martínez (aún no redactado),o,smd,,68,2006
PRD,Segunda,Antonio Ortega Martínez,o,pr,,69,2006
PRD,Michoacán,Antonio Soto Sánchez,o,smd,,70,2006
PRD,Distrito Federal,Armando Barreiro Pérez (aún no redactado),o,smd,,71,2006
PRD,Segunda,Camerino Eleazar Márquez Madrid (aún no redactado),o,pr,,72,2006
PRD,Tercera,Celso David Pulido Santiago (aún no redactado),o,pr,,73,2006
PRD,México,Emilio Ulloa Pérez,o,smd,,74,2006
PRD,Cuarta,Faustino Soto Ramos,o,pr,,75,2006
PRD,Michoacán,Fausto Mendoza Maldonado (aún no redactado),o,smd,,76,2006
PRD,Tabasco,Fernando Mayans Canabal,o,smd,,77,2006
PRD,Zacatecas,Francisco Javier Calzada Vázquez,o,smd,,78,2006
PRD,Michoacán,Francisco Márquez Tinoco (aún no redactado),o,smd,,79,2006
PRD,México,Francisco Martínez Martínez,o,smd,,80,2006
PRD,Tabasco,Francisco Sánchez Ramos (aún no redactado),o,smd,,81,2006
PRD,México,Francisco Santos Arreola (aún no redactado),o,smd,,82,2006
PRD,Distrito Federal,Higinio Chávez García (aún no redactado),o,smd,,83,2006
PRD,México,Hugo Eduardo Martínez Padilla,o,smd,,84,2006
PRD,Michoacán,Humberto Alonso Razo (aún no redactado),o,smd,,85,2006
PRD,Tercera,Humberto López Lena,o,pr,,86,2006
PRD,Michoacán,Irineo Mendoza Mendoza (aún no redactado),o,smd,,87,2006
PRD,Quinta,Isidro Pedraza Chávez,o,pr,,88,2006
PRD,Guerrero,Marco Matías Alonso (aún no redactado),o,smd,,89,2006
PRD,México,Mario Enrique del Toro,o,smd,,90,2006
PRD,Michoacán,Mario Vallejo Estévez (aún no redactado),o,smd,,91,2006
PRD,Guerrero,Modesto Brito González (aún no redactado),o,smd,,92,2006
PRD,Guerrero,Octavio Adolfo Klimek Alcaráz (aún no redactado),o,smd,,93,2006
PRD,Distrito Federal,Pablo Trejo Pérez (aún no redactado),o,smd,,94,2006
PRD,Tercera,Pedro Landero López (aún no redactado),o,pr,,95,2006
PRD,Zacatecas,Raymundo Cárdenas,o,smd,,96,2006
PRD,México,Raymundo Escamilla González (aún no redactado),o,smd,,97,2006
PRD,Tercera,Roberto Mendoza Flores (aún no redactado),o,pr,,98,2006
PRD,Cuarta,Rosario Ortiz Magallón (aún no redactado),o,pr,1,99,2006
PRD,Tercera,Rutilio Escandón Cadenas,o,pr,,100,2006
PRD,México,Santiago López Becerra (aún no redactado),o,smd,,101,2006
PRD,Guerrero,Secundino Catarino Crispín (aún no redactado),o,smd,,102,2006
PRD,Hidalgo,Sergio Hernández Hernández (aún no redactado),o,smd,,103,2006
PRD,Distrito Federal,Victorio Montalvo Rojas,o,smd,,104,2006
PRD,Guerrero,César Flores Maldonado,r,smd,,105,2006
PRD,Chiapas,Héctor Narcía Álvarez (aún no redactado),r,smd,,106,2006
PRD,Distrito Federal,Javier González Garza,r,smd,,107,2006
PRD,Quinta,Javier Hernández Manzanares (aún no redactado),r,pr,,108,2006
PRD,México,Salvador Ruiz Sánchez (aún no redactado),r,smd,,109,2006
PRD,Guerrero,Víctor Aguirre Alcaide (aún no redactado),r,smd,,110,2006
PRD,Distrito Federal,Víctor Hugo García Rodríguez (aún no redactado),r,smd,,111,2006
